Index,야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
1,오션파크,야영장,36.67449205,126.2808664,충청남도 태안군 남면 몽산포길 161,충청남도 태안군 남면 몽산리 782-13,041-672-3043,2,4899,,104,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
2,돌고래오토캠핑장,야영장,36.67421287,126.2693467,충청남도 태안군 남면 몽대로 512-21,충청남도 태안군 남면 몽산리 661-4,041-000-0000,1,1587,,24,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
3,한마음오토캠핑장,야영장,36.42346525,126.3612292,충청남도 태안군 고남면 큰장돌길 283-22,충청남도 태안군 고남면 장곡리 617-1,041-000-0000,8,1030,,16,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
4,만리포미소카라반,야영장,36.783852,126.1403699,충청남도 태안군 소원면 만리포2길 112-1,충청남도 태안군 소원면 모항리 1325-120,041-000-0000,3,1421,62.8,12,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
5,곰섬야영장,야영장,36.58852961,126.2911942,충청남도 태안군 남면 곰섬로 500-17,충청남도 태안군 남면 신온리 903-34,041-000-0000,52,8781,75,208,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
6,청산야영장,야영장,36.81802008,126.2803911,충청남도 태안군 원북면 청산길 279,충청남도 태안군 원북면 청산리 254-11,041-000-0000,4,1322,36,16,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
7,만리포몰디브,야영장,36.79636659,126.1480549,충청남도 태안군 소원면 천리포1길 143-22,충청남도 태안군 소원면 의항리 977-26,041-000-0000,1,2002,189.58,52,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
8,돌고래펜션야영장,야영장,36.673721,126.269053,충청남도 태안군 남면 몽대로 517,충청남도 태안군 남면 몽산리 661-1,041-000-0000,1,830,,20,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
9,그림나래 힐링캠프,야영장,36.71867627,126.2449546,충청남도 태안군 근흥면 궁틀길 62-51,,041-000-0000,2,1142,,24,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
10,구름포해수욕장카라반,야영장,36.83553929,126.1527145,충청남도 태안군 소원면 구름포길 117,충청남도 태안군 소원면 의항리 160-4,02-777-7009,1,1200,,44,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
11,쉼이있는자유,야영장,36.90604112,126.2869034,충청남도 태안군 이원면 음포길 133-6,충청남도 태안군 이원면 관리 1040-7,041-000-0000,4,457,,36,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
12,HJ글램핑,야영장,38.059769,127.387582,경기도 포천시 이동면 화동로 2440-34,,031-000-0000,46,,,184,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
13,수원산오토캠핑장,야영장,37.862797,127.2394429,경기도 포천시 군내면 청군로2985번길 50-29,경기도 포천시 군내면 직두리 450,031-000-0000,10,,,40,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
14,도마치 캠핑장,야영장,38.04979654,127.3837846,경기도 포천시 이동면 화동로 2316,경기도 포천시 이동면 도평리 281-20,031-000-0000,25,,,100,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
15,캠핑라운지,야영장,38.047385,127.369399,경기도 포천시 이동면 성장로1289번길 155-76,경기도 포천시 이동면 장암리 650-5,031-000-0000,37,,,148,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
16,산정레이크RV리조트,자동차야영장,38.07675783,127.324405,경기도 포천시 영북면 산정호수로 834-32,경기도 포천시 영북면 산정리 277-1,031-000-0000,21,,,84,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
17,국망봉자연휴양림캠핑장,야영장,38.028861,127.3962259,경기도 포천시 이동면 늠바위길 207-28,경기도 포천시 이동면 장암리 산74,031-532-0014,14,,,56,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
18,태안둘레길캠핑장,야영장,36.932001,126.2941951,충청남도 태안군 이원면 꾸지나무길 37-76,충청남도 태안군 이원면 내리 503-8,041-675-7000,93,28901,230,372,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
19,태안별빛오토캠핑장,자동차야영장,36.74606848,126.1836266,충청남도 태안군 소원면 법산길 160-20,충청남도 태안군 소원면 법산리 897,041-000-0000,60,18306,532.64,52,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
20,송도오토캠핑장,야영장,36.77805328,126.134623,충청남도 태안군 소원면 모항항길 106-22,,041-000-0000,18,1738,45.33,80,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
